"ASMEB18.21.1.8Adef"
"ASMEB18.21.1.8Bdef"
"Dia","d1_max","d1_min","d2_max","d2_min","h_max","h_min"
"#3",2.7686,2.5908,5.9690,5.5880,0.4064,0.2540
"#4",3.1242,2.9210,6.6040,6.2230,0.4572,0.3048
"#5",3.4544,3.2766,7.2390,6.8580,0.5080,0.3556
"#6",3.8100,3.5814,8.1280,7.7470,0.5588,0.4064
"#8",4.4704,4.2672,9.6774,9.2710,0.5842,0.4572
"#10",5.1816,4.9530,10.4140,10.0330,0.6096,0.4572
"#12",5.8674,5.6134,12.0650,11.6840,0.6858,0.5080
"1/4in",6.7818,6.5024,12.9540,12.5476,0.7112,0.5842
"5/16in",8.4328,8.1280,15.4940,14.9352,0.8636,0.7112
"3/8in",10.1092,9.7536,17.6276,17.0180,1.0160,0.8128
"7/16in",11.7856,11.3792,19.3040,18.7960,1.0160,0.8128
"1/2in",13.4620,13.0302,22.8600,22.3520,1.1430,0.9398
"9/16in",15.1384,14.6304,25.0190,24.3840,1.1430,0.9398
"5/8in",16.8402,16.2814,27.1780,26.5430,1.2700,1.0668
"11/16in",18.4912,17.8816,29.3370,28.7020,1.2700,1.0668
"3/4in",20.1930,19.5072,32.0040,30.9880,1.3970,1.1938
"13/16in",21.8694,21.1582,33.4010,32.7660,1.3970,1.1938
"7/8in",23.5458,22.7838,35.8140,35.0520,1.5240,1.3208
"1in",26.9240,26.0350,41.1480,40.3860,1.7018,1.4986
