"ISO8674def"
"Dia","P","c_max","c_min","da_max","da_min","dw","e","m_max","m_min","mw","s_max","s_min"
"M8",1.0,0.6,0.15,8.75,8.0,11.63,14.38,7.5,7.14,5.71,13.0,12.73
"M10",1.0,0.6,0.15,10.8,10.0,14.63,17.77,9.3,8.94,7.15,16.0,15.73
"M10",1.25,0.6,0.15,10.8,10.0,14.63,17.77,9.3,8.94,7.15,16.0,15.73
"M12",1.25,0.6,0.15,12.96,12.0,16.63,20.03,12.0,11.57,9.26,18.0,17.73
"M12",1.5,0.6,0.15,12.96,12.0,16.63,20.03,12.0,11.57,9.26,18.0,17.73
"M14",1.5,0.6,0.15,15.12,14.0,19.64,23.36,14.1,13.4,10.72,21.0,20.67
"M16",1.5,0.8,0.2,17.28,16.0,22.49,26.75,16.4,15.7,12.56,24.0,23.67
"M18",2.0,0.8,0.2,19.44,18.0,24.85,29.56,17.6,16.9,13.52,27.0,26.16
"M18",1.5,0.8,0.2,19.44,18.0,24.85,29.56,17.6,16.9,13.52,27.0,26.16
"M20",2.0,0.8,0.2,21.6,20.0,27.7,32.95,20.3,19.0,15.2,30.0,29.16
"M20",1.5,0.8,0.2,21.6,20.0,27.7,32.95,20.3,19.0,15.2,30.0,29.16
"M22",2.0,0.8,0.2,23.76,22.0,31.35,37.29,21.8,20.5,16.4,34.0,33.0
"M22",1.5,0.8,0.2,23.76,22.0,31.35,37.29,21.8,20.5,16.4,34.0,33.0
"M24",2.0,0.8,0.2,25.92,24.0,33.25,39.55,23.9,22.6,18.08,36.0,35.0
"M27",2.0,0.8,0.2,29.16,27.0,38.0,45.2,26.7,25.4,20.32,41.0,40.0
"M30",2.0,0.8,0.2,32.4,30.0,42.75,50.85,28.6,27.3,21.84,46.0,45.0
"M33",2.0,0.8,0.2,35.64,33.0,46.55,55.37,32.5,30.9,24.72,50.0,49.0
"M36",3.0,0.8,0.2,38.88,36.0,51.11,60.79,34.7,33.1,26.48,55.0,53.8
"M39",3.0,1.0,0.3,42.12,39.0,55.86,66.44,37.5,35.9,28.72,60.0,58.8
