"ASMEB18.21.1.12Cdef"
"Dia","d1_basic","d1_max","d1_min","d2_basic","d2_max","d2_min","h_basic","h_max","h_min"
"#0",1.7272,1.7272,1.6002,6.35,6.35,6.223,0.635,0.7112,0.5588
"#1",2.1336,2.1336,2.0066,7.1374,7.1374,7.0104,0.8128,0.9144,0.7112
"#2",2.3876,2.3876,2.2606,8.7376,8.7376,8.6106,0.8128,0.9144,0.7112
"#3",2.7686,2.9718,2.6416,10.3124,10.5156,10.1854,1.016,1.143,0.9144
"#4",3.175,3.3782,3.048,11.1252,11.3284,10.9982,1.016,1.143,0.9144
"#5",3.5814,3.7846,3.4544,12.7,12.9032,12.573,1.016,1.143,0.9144
"#6",3.9624,4.1656,3.8354,14.2748,14.478,14.1478,1.016,1.143,0.9144
"#8",4.7752,4.9784,4.6482,15.875,16.256,15.748,1.6002,1.8034,1.4224
"#10",5.1562,5.3594,5.0292,18.6436,19.0246,18.4658,1.6002,1.8034,1.4224
"#12",5.9436,6.1468,5.8166,22.225,22.606,22.0472,1.6002,1.8034,1.4224
"1/4in",7.1374,7.5184,7.0104,25.4,25.781,25.2222,1.6002,1.8034,1.4224
"5/16in",8.7376,9.1186,8.6106,28.575,28.956,28.3972,1.6002,1.8034,1.4224
"3/8in",10.3124,10.6934,10.1854,31.75,32.512,31.5722,2.54,2.8448,2.286
"7/16in",11.9126,12.2936,11.7856,37.3126,38.0746,37.1348,2.54,2.8448,2.286
"1/2in",13.4874,13.8684,13.3604,44.45,45.212,44.2722,2.54,2.8448,2.286
"9/16in",15.0876,15.4686,14.9606,50.8,51.562,50.6222,2.54,2.8448,2.286
"5/8in",16.6624,17.4244,16.4846,57.15,57.912,56.9722,4.064,4.4196,3.7084
"3/4in",20.6248,21.3868,20.447,63.5,64.262,63.3222,4.064,4.4196,3.7084
"7/8in",23.8252,24.5872,23.6474,69.85,70.612,69.6722,4.064,4.4196,3.7084
"1in",26.9748,27.7368,26.797,76.2,76.962,76.0222,4.064,4.4196,3.7084
"1 1/8in",30.1752,30.9372,29.9974,82.55,83.312,82.3722,4.064,4.4196,3.7084
"1 1/4in",33.3248,34.4678,33.0708,88.9,90.043,88.646,6.35,6.7564,5.9436
"1 3/8in",36.5252,37.6682,36.2712,95.25,96.393,94.996,6.35,6.7564,5.9436
"1 1/2in",39.6748,40.8178,39.4208,101.6,102.743,101.346,6.35,6.7564,5.9436
"1 5/8in",44.45,45.593,44.196,107.95,109.093,107.696,6.35,6.7564,5.9436
"1 3/4in",47.625,48.768,47.371,114.3,115.443,114.046,6.35,6.7564,5.9436
"1 7/8in",50.8,51.943,50.546,120.65,121.793,120.396,6.35,6.7564,5.9436
"2in",53.975,55.118,53.721,127,128.143,126.746,6.35,6.7564,5.9436
"2 1/4in",60.325,61.976,60.071,139.7,141.351,139.446,9.525,9.9822,9.0678
"2 1/2in",66.675,68.326,66.421,152.4,154.051,152.146,9.525,9.9822,9.0678
"2 3/4in",73.025,74.676,72.771,165.1,166.751,164.846,9.525,9.9822,9.0678
"3in",79.375,81.026,79.121,177.8,179.451,177.546,9.525,9.9822,9.0678
